fifa_rank,team,country_code,fifa_points,confederation
1,Spain,ESP,1877.18,UEFA
2,Argentina,ARG,1873.33,CONMEBOL
3,France,FRA,1870.0,UEFA
4,England,ENG,1834.12,UEFA
5,Brazil,BRA,1760.46,CONMEBOL
6,Portugal,POR,1760.38,UEFA
7,Netherlands,NED,1756.27,UEFA
8,Morocco,MAR,1736.57,CAF
9,Belgium,BEL,1730.71,UEFA
10,Germany,GER,1724.15,UEFA
11,Croatia,CRO,1716.88,UEFA
12,Senegal,SEN,1706.83,CAF
13,Italy,ITA,1702.06,UEFA
14,Colombia,COL,1701.3,CONMEBOL
15,United States,USA,1681.88,CONCACAF
16,Mexico,MEX,1675.75,CONCACAF
17,Uruguay,URU,1672.62,CONMEBOL
18,Switzerland,SUI,1654.69,UEFA
19,Japan,JPN,1650.12,AFC
20,Iran,IRN,1617.02,AFC
21,Denmark,DEN,1616.75,UEFA
22,South Korea,KOR,1599.45,AFC
23,Ecuador,ECU,1591.73,CONMEBOL
24,Austria,AUT,1585.51,UEFA
25,Turkey,TUR,1582.69,UEFA
26,Nigeria,NGA,1581.55,CAF
27,Australia,AUS,1574.01,AFC
28,Algeria,ALG,1560.91,CAF
29,Canada,CAN,1559.15,CONCACAF
30,Ukraine,UKR,1557.47,UEFA
31,Egypt,EGY,1556.71,CAF
32,Norway,NOR,1553.14,UEFA
33,Panama,PAN,1539.47,CONCACAF
34,Poland,POL,1532.04,UEFA
35,Wales,WAL,1529.71,UEFA
36,Russia,RUS,1524.52,UEFA
37,Ivory Coast,CIV,1522.48,CAF
38,Scotland,SCO,1506.77,UEFA
39,Serbia,SRB,1506.34,UEFA
40,Paraguay,PAR,1501.5,CONMEBOL
41,Hungary,HUN,1496.29,UEFA
42,Sweden,SWE,1487.13,UEFA
43,Czechia,CZE,1487.0,UEFA
44,Slovakia,SVK,1485.65,UEFA
45,Cameroon,CMR,1482.39,CAF
46,Greece,GRE,1480.38,UEFA
47,Tunisia,TUN,1479.04,CAF
48,Congo DR,COD,1468.22,CAF
49,Romania,ROU,1465.78,UEFA
50,Venezuela,VEN,1465.22,CONMEBOL
51,Costa Rica,CRC,1464.24,CONCACAF
52,Uzbekistan,UZB,1462.03,AFC
53,Peru,PER,1459.57,CONMEBOL
54,Mali,MLI,1458.48,CAF
55,Chile,CHI,1457.84,CONMEBOL
56,Qatar,QAT,1454.96,AFC
57,Slovenia,SVN,1447.31,UEFA
58,Iraq,IRQ,1436.94,AFC
59,Saudi Arabia,KSA,1429.48,AFC
60,South Africa,RSA,1432.76,CAF
61,Jamaica,JAM,1362.46,CONCACAF
62,Bolivia,BOL,1330.52,CONMEBOL
63,New Zealand,NZL,1279.25,OFC
